source,test,status,target,test_1m_spearman,test_60m_spearman,test_1B_spearman
CHM_Q1_v1.3,targetwise_1M_60M_1B_rank,producer_held_out_metrics_consumed_not_refitted,arxiv,0.7446111810482947,0.7622689688715952,0.8646978021978022
CHM_Q1_v1.3,targetwise_1M_60M_1B_rank,producer_held_out_metrics_consumed_not_refitted,freelaw,0.7696812771801326,0.7625479228656442,0.7066849816849816
CHM_Q1_v1.3,targetwise_1M_60M_1B_rank,producer_held_out_metrics_consumed_not_refitted,pubmed_central,0.8331418802929731,0.8522781242847333,0.7995879120879119
CHM_Q1_v1.3,targetwise_1M_60M_1B_rank,producer_held_out_metrics_consumed_not_refitted,wikipedia_en,0.8818250743877316,0.8834737640192262,0.8384615384615383
CHM_Q1_v1.3,targetwise_1M_60M_1B_rank,producer_held_out_metrics_consumed_not_refitted,dm_mathematics,0.7674668116273746,0.7521164740215153,0.6868131868131867
CHM_Q1_v1.3,targetwise_1M_60M_1B_rank,producer_held_out_metrics_consumed_not_refitted,github,0.838052901121538,0.8406700617990385,0.6721153846153846
CHM_Q1_v1.3,targetwise_1M_60M_1B_rank,producer_held_out_metrics_consumed_not_refitted,stackexchange,0.819406614785992,0.818485351338979,0.7323260073260072
CHM_Q1_v1.3,targetwise_1M_60M_1B_rank,producer_held_out_metrics_consumed_not_refitted,gutenberg_pg_19,0.8892974650949874,0.8938508525978485,0.6536630036630036
CHM_Q1_v1.3,targetwise_1M_60M_1B_rank,producer_held_out_metrics_consumed_not_refitted,pile_cc,0.9007345788509955,0.8918996051728083,0.8875915750915748
CHM_Q1_v1.3,targetwise_1M_60M_1B_rank,producer_held_out_metrics_consumed_not_refitted,ubuntu_irc,0.7632639047837033,0.7603742275120163,0.660989010989011
CHM_Q1_v1.3,targetwise_1M_60M_1B_rank,producer_held_out_metrics_consumed_not_refitted,hackernews,0.8437550068665597,0.8381151293202105,0.5690934065934066
CHM_Q1_v1.3,targetwise_1M_60M_1B_rank,producer_held_out_metrics_consumed_not_refitted,pubmed_abstracts,0.9226625085831998,0.9201640821698327,0.6399725274725273
CHM_Q1_v1.3,targetwise_1M_60M_1B_rank,producer_held_out_metrics_consumed_not_refitted,uspto_backgrounds,0.8521000228885328,0.831399490730144,0.7586538461538461
